image,true_class,pred_class,original_conf,gc_masked_conf,gc_drop_pct,gc_ic_pct,gcpp_masked_conf,gcpp_drop_pct,gcpp_ic_pct,eigen_masked_conf,eigen_drop_pct,eigen_ic_pct,sc_masked_conf,sc_drop_pct,sc_ic_pct
type1_40x_1_cell_1.tif,Normal (Type 1),Normal (Type 1),82.61,100.0,0.0,21.05,100.0,0.0,21.05,100.0,0.0,21.05,100.0,0.0,21.05
type1_40x_1_cell_101.tif,Normal (Type 1),Normal (Type 1),98.41,100.0,0.0,1.62,100.0,0.0,1.62,100.0,0.0,1.62,100.0,0.0,1.62
type1_40x_1_cell_108.tif,Normal (Type 1),Normal (Type 1),70.61,100.0,0.0,41.63,100.0,0.0,41.63,100.0,0.0,41.63,100.0,0.0,41.63
type1_40x_1_cell_111.tif,Normal (Type 1),Normal (Type 1),99.98,100.0,0.0,0.02,100.0,0.0,0.02,100.0,0.0,0.02,100.0,0.0,0.02
type1_40x_1_cell_120.tif,Normal (Type 1),Normal (Type 1),100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
type1_40x_1_cell_123.tif,Normal (Type 1),Normal (Type 1),99.96,100.0,0.0,0.04,100.0,0.0,0.04,100.0,0.0,0.04,100.0,0.0,0.04
type1_40x_1_cell_137.tif,Normal (Type 1),Normal (Type 1),98.66,100.0,0.0,1.36,100.0,0.0,1.36,100.0,0.0,1.36,100.0,0.0,1.36
type1_40x_1_cell_141.tif,Normal (Type 1),Normal (Type 1),96.15,100.0,0.0,4.0,100.0,0.0,4.0,100.0,0.0,4.0,100.0,0.0,4.0
type1_40x_1_cell_154.tif,Normal (Type 1),Normal (Type 1),66.25,100.0,0.0,50.94,100.0,0.0,50.94,100.0,0.0,50.94,100.0,0.0,50.94
type1_40x_1_cell_165.tif,Normal (Type 1),Normal (Type 1),64.74,100.0,0.0,54.46,100.0,0.0,54.46,100.0,0.0,54.46,100.0,0.0,54.46
type1_40x_1_cell_168.tif,Normal (Type 1),Normal (Type 1),100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
type1_40x_1_cell_172.tif,Normal (Type 1),Normal (Type 1),78.91,100.0,0.0,26.73,100.0,0.0,26.73,100.0,0.0,26.73,100.0,0.0,26.73
type1_40x_1_cell_179.tif,Normal (Type 1),Normal (Type 1),99.86,100.0,0.0,0.14,100.0,0.0,0.14,100.0,0.0,0.14,100.0,0.0,0.14
